Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
1.2,0.38,14.9,21.0,21.7,6.1,15.5,2.12,0.09,1.1,253.0,27.1,0.0,2.02,5.0,87.0,0.2,12.0
1.6,0.27,30.2,17.0,11.2,3.3,7.8,2.0,0.05,1.8,248.0,28.8,0.0,1.95,2.0,80.0,0.8,245.0
1.8,0.23,37.1,23.0,9.2,2.4,6.8,1.94,0.02,2.0,250.0,29.0,0.0,1.92,2.0,80.0,1.5,274.0
1.4,0.22,44.0,22.0,6.4,1.3,5.1,1.92,0.01,1.3,308.0,29.3,0.0,1.91,2.0,79.0,1.4,297.0
1.4,0.19,47.1,10.0,5.4,0.8,4.5,1.89,0.01,1.5,294.0,29.9,0.0,1.88,5.0,76.0,0.7,332.0
1.2,0.18,43.3,17.0,4.5,0.7,3.8,1.86,0.0,1.5,295.0,29.9,0.0,1.86,3.0,77.0,1.1,303.0
1.2,0.19,40.7,19.0,4.9,0.7,4.1,1.9,0.01,1.0,305.0,29.5,0.0,1.89,1.0,79.0,0.9,296.0
1.4,0.3,46.9,22.0,8.1,0.6,7.5,2.02,0.07,0.6,48.0,28.8,0.0,1.96,3.0,81.0,0.6,27.0
1.6,0.46,55.4,40.0,13.0,0.4,12.6,2.22,0.14,0.5,298.0,28.3,0.0,2.08,13.0,83.0,0.9,299.0
1.8,0.44,50.7,31.0,13.7,0.4,13.2,2.22,0.14,0.8,44.0,28.0,0.0,2.08,16.0,84.0,0.8,42.0
2.1,0.43,35.4,28.0,13.9,0.4,13.4,2.2,0.16,0.8,297.0,27.5,0.0,2.04,11.0,85.0,0.4,316.0
1.9,0.38,21.9,32.0,15.4,0.4,15.0,2.14,0.14,0.3,313.0,27.2,0.0,2.0,14.0,86.0,0.3,304.0
1.8,0.44,16.0,24.0,18.9,0.6,18.3,2.33,0.21,0.5,105.0,27.4,0.0,2.12,8.0,85.0,0.3,43.0
1.6,0.55,11.0,31.0,22.1,1.0,21.1,2.42,0.21,0.8,160.0,27.0,0.0,2.21,14.0,87.0,0.5,166.0
1.4,0.39,9.8,33.0,16.9,0.8,16.1,2.23,0.11,0.9,151.0,26.7,0.0,2.12,15.0,89.0,0.6,165.0
1.4,0.27,13.6,33.0,10.2,0.5,9.6,2.09,0.06,0.7,167.0,26.4,0.0,2.02,6.0,89.0,0.7,170.0
1.7,0.26,15.8,35.0,8.3,0.6,7.6,2.06,0.05,0.8,164.0,26.1,0.0,2.02,8.0,91.0,0.6,156.0
1.5,0.25,11.5,29.0,7.5,0.6,6.9,2.1,0.05,0.5,118.0,25.9,0.0,2.04,5.0,90.0,0.5,135.0
1.8,0.23,5.2,20.0,8.8,0.7,8.1,2.12,0.06,0.3,77.0,26.0,0.0,2.06,2.0,87.0,0.7,76.0
1.4,0.22,1.9,19.0,9.6,1.4,8.1,2.29,0.08,1.0,27.0,26.2,0.0,2.22,3.0,85.0,0.4,63.0
1.9,0.18,2.8,18.0,7.6,1.4,6.2,2.06,0.04,1.3,76.0,25.7,0.0,2.02,4.0,84.0,1.0,73.0
1.8,0.23,2.3,13.0,9.9,3.1,6.8,2.06,0.05,0.6,45.0,26.0,0.0,2.02,5.0,83.0,0.8,69.0
1.4,0.28,8.1,15.0,11.3,4.2,7.1,2.04,0.05,0.5,75.0,27.0,0.0,2.0,5.0,81.0,1.0,67.0
1.6,0.27,17.0,21.0,10.7,3.3,7.4,2.0,0.04,1.1,71.0,28.5,0.0,1.97,9.0,80.0,0.7,59.0
